barangay_psgc,species,date,count
102802046.0,Naja philippinensis,2025-10-10,1
102802046.0,Naja philippinensis,2025-10-15,1
102804012.0,Ophiophagus hannah,2026-01-17,1
102805018.0,Naja philippinensis,2025-11-08,1
102809016.0,Naja philippinensis,2025-10-17,1
102812061.0,Naja philippinensis,2025-10-25,1
102812061.0,Naja philippinensis,2026-01-17,2
102812062.0,Naja philippinensis,2025-10-15,1
102812084.0,Naja samarensis,2025-10-15,2
102812084.0,Naja samarensis,2025-10-25,2
102812084.0,Naja samarensis,2025-11-13,1
102812084.0,Naja samarensis,2026-01-17,1
102812084.0,Naja samarensis,2026-01-18,1
102817019.0,Naja philippinensis,2026-01-17,1
102818010.0,Naja philippinensis,2025-10-18,1
102818010.0,Naja philippinensis,2025-10-20,1
102818010.0,Naja philippinensis,2025-10-26,1
102818010.0,Naja philippinensis,2026-01-10,1
102818010.0,Naja philippinensis,2026-01-16,1
102818010.0,Naja philippinensis,2026-01-17,1
102818010.0,Ophiophagus hannah,2025-11-13,1
102820023.0,Ophiophagus hannah,2026-01-17,1
102821020.0,Naja philippinensis,2026-01-17,1
102823050.0,Naja philippinensis,2025-10-17,1
102823050.0,Naja philippinensis,2026-01-17,1
102902015.0,Naja philippinensis,2026-01-17,1
102905026.0,Naja philippinensis,2025-11-13,1
102906039.0,Naja philippinensis,2026-01-17,1
102908002.0,Naja philippinensis,2025-11-09,1
102909005.0,Naja philippinensis,2025-10-20,1
102909005.0,Naja philippinensis,2025-10-25,1
102909005.0,Naja philippinensis,2025-10-26,1
102909005.0,Naja philippinensis,2025-11-12,1
102909005.0,Naja philippinensis,2025-11-13,1
102909005.0,Naja philippinensis,2026-01-17,1
102910008.0,Ophiophagus hannah,2025-10-19,1
102914030.0,Naja philippinensis,2025-10-27,1
102914030.0,Naja philippinensis,2026-01-17,1
102916017.0,Ophiophagus hannah,2025-11-12,1
102918006.0,Naja philippinensis,2026-01-17,1
102924013.0,Naja philippinensis,2022-08-06,1
102924032.0,Naja philippinensis,2026-01-17,1
102926005.0,Naja philippinensis,2026-01-17,1
102929001.0,Naja philippinensis,2025-10-15,1
102930002.0,Ophiophagus hannah,2025-10-15,1
102934003.0,Naja philippinensis,2025-10-27,1
102934040.0,Naja philippinensis,2025-10-13,1
103302010.0,Naja philippinensis,2025-11-13,1
103302010.0,Naja philippinensis,2026-01-17,1
103311039.0,Naja philippinensis,2025-10-15,1
103311039.0,Naja philippinensis,2026-01-16,1
103314007.0,Ophiophagus hannah,2025-11-13,1
103319010.0,Naja philippinensis,2025-10-18,1
105502011.0,Naja philippinensis,2025-11-13,1
105503021.0,Naja philippinensis,2026-01-10,1
105503021.0,Naja philippinensis,2026-01-17,1
105509013.0,Naja philippinensis,2026-01-17,1
105513026.0,Naja philippinensis,2025-11-09,1
105514011.0,Naja philippinensis,2025-10-17,1
105514011.0,Naja philippinensis,2026-01-14,1
105514011.0,Naja philippinensis,2026-01-18,1
105514011.0,Ophiophagus hannah,2025-10-14,1
105517019.0,Naja philippinensis,2025-11-13,1
105523016.0,Ophiophagus hannah,2025-10-17,1
105524062.0,Naja philippinensis,2025-10-13,1
105527070.0,Naja philippinensis,2025-10-17,1
105528014.0,Naja philippinensis,2026-01-17,1
105529011.0,Naja philippinensis,2025-10-14,1
105532016.0,Naja philippinensis,2025-10-15,1
105532016.0,Naja philippinensis,2025-10-27,1
105532016.0,Naja philippinensis,2026-01-16,1
105532016.0,Naja philippinensis,2026-01-17,2
105532078.0,Naja philippinensis,2025-10-10,1
105532078.0,Naja philippinensis,2025-10-14,3
105532078.0,Naja philippinensis,2025-10-16,2
105532078.0,Naja philippinensis,2025-10-18,1
105532078.0,Naja philippinensis,2025-10-19,1
105532078.0,Naja philippinensis,2025-11-09,2
105532078.0,Naja philippinensis,2025-11-13,1
105532078.0,Naja philippinensis,2026-01-17,3
105535001.0,Naja philippinensis,2025-10-15,1
105536020.0,Naja philippinensis,2026-01-17,1
105537023.0,Naja philippinensis,2025-10-25,1
105538028.0,Naja samarensis,2026-01-17,1
105539015.0,Naja philippinensis,2026-01-17,1
105541006.0,Naja philippinensis,2026-01-17,1
105541024.0,Naja philippinensis,2025-10-21,1
105541024.0,Ophiophagus hannah,2025-11-13,1
105542011.0,Naja philippinensis,2025-11-08,1
105542014.0,Naja philippinensis,2025-10-16,1
105542014.0,Naja philippinensis,2025-11-14,1
105543005.0,Naja philippinensis,2026-01-17,1
105544047.0,Naja philippinensis,2025-11-13,1
105546027.0,Naja philippinensis,2025-10-21,1
105546027.0,Naja philippinensis,2026-01-17,1
105546032.0,Naja philippinensis,2025-10-14,1
105546032.0,Naja philippinensis,2025-10-15,1
105546032.0,Naja philippinensis,2026-01-17,1
105547002.0,Naja philippinensis,2025-10-12,1
201501007.0,Naja philippinensis,2026-01-16,1
201505020.0,Naja philippinensis,2025-11-13,1
201507008.0,Naja philippinensis,2025-10-15,1
201511008.0,Naja philippinensis,2026-01-16,1
201513052.0,Naja philippinensis,2025-10-21,1
201513052.0,Naja philippinensis,2026-01-16,1
201519017.0,Naja philippinensis,2026-01-16,1
201519017.0,Naja philippinensis,2026-01-17,2
201519017.0,Ophiophagus hannah,2026-01-17,1
201520019.0,Ophiophagus hannah,2025-10-19,1
201520019.0,Ophiophagus hannah,2025-10-20,1
201528032.0,Naja philippinensis,2026-01-19,1
201528032.0,Ophiophagus hannah,2026-01-17,1
201529013.0,Naja philippinensis,2025-10-16,1
201529013.0,Naja philippinensis,2025-11-12,1
201529013.0,Naja philippinensis,2026-01-17,1
201529018.0,Naja philippinensis,2025-11-12,1
201529024.0,Ophiophagus hannah,2026-01-17,2
203101002.0,Naja philippinensis,2025-10-14,1
203101002.0,Naja philippinensis,2026-01-17,2
203103027.0,Naja philippinensis,2026-01-17,1
203103027.0,Naja samarensis,2026-01-17,1
203105004.0,Naja philippinensis,2025-10-15,1
203105004.0,Naja philippinensis,2026-01-17,1
203106018.0,Ophiophagus hannah,2025-11-09,1
203107021.0,Naja philippinensis,2026-01-17,1
203109007.0,Naja philippinensis,2025-11-09,1
203112066.0,Naja philippinensis,2025-11-13,1
203114067.0,Naja philippinensis,2026-01-16,1
203114100.0,Naja philippinensis,2025-10-25,1
203119007.0,Ophiophagus hannah,2026-01-18,1
203120013.0,Ophiophagus hannah,2025-10-22,1
203123014.0,Naja philippinensis,2026-01-13,1
203127008.0,Naja philippinensis,2025-10-28,1
203131024.0,Naja philippinensis,2025-10-13,1
203131024.0,Naja philippinensis,2025-10-15,4
203131024.0,Naja philippinensis,2025-10-17,1
203131024.0,Naja philippinensis,2025-11-09,1
203131024.0,Naja philippinensis,2025-11-13,1
203131024.0,Naja philippinensis,2026-01-17,2
203131029.0,Naja philippinensis,2025-11-09,1
203132019.0,Naja philippinensis,2025-10-17,1
203132019.0,Naja philippinensis,2026-01-17,1
203134012.0,Naja philippinensis,2025-10-15,1
203134012.0,Naja philippinensis,2026-01-17,1
203135025.0,Naja philippinensis,2026-01-17,1
203137031.0,Naja philippinensis,2026-01-16,1
203137031.0,Naja philippinensis,2026-01-17,1
203137031.0,Ophiophagus hannah,2025-10-11,1
205001007.0,Naja philippinensis,2015-07-05,2
205004011.0,Naja philippinensis,2025-10-15,1
205004011.0,Naja philippinensis,2025-10-19,1
205004011.0,Naja philippinensis,2025-11-07,1
205004011.0,Naja philippinensis,2025-11-13,2
205004011.0,Naja philippinensis,2026-01-11,1
205004011.0,Naja philippinensis,2026-01-17,2
205004012.0,Naja philippinensis,2025-10-15,2
205004012.0,Naja philippinensis,2025-10-16,1
205004012.0,Naja philippinensis,2025-11-13,1
205004012.0,Ophiophagus hannah,2026-01-15,1
205005017.0,Naja philippinensis,2026-01-16,1
205005021.0,Naja philippinensis,2026-01-13,1
205007019.0,Ophiophagus hannah,2026-01-16,1
205008018.0,Ophiophagus hannah,2025-11-07,1
205011001.0,Naja philippinensis,2025-10-14,1
205011001.0,Naja philippinensis,2026-01-17,1
205013013.0,Naja philippinensis,2026-01-17,1
205013014.0,Naja philippinensis,2026-01-11,1
205013021.0,Naja philippinensis,2024-07-27,2
205701005.0,Naja philippinensis,2025-10-15,1
205703001.0,Ophiophagus hannah,2025-10-11,1
205704038.0,Naja philippinensis,2025-10-15,1
205704038.0,Naja philippinensis,2025-11-13,1
300802016.0,Naja philippinensis,2025-10-11,1
300803005.0,Naja philippinensis,2026-01-17,1
300803013.0,Naja philippinensis,2025-10-20,1
300803020.0,Naja philippinensis,2025-10-15,1
300803020.0,Naja philippinensis,2026-01-12,1
300803020.0,Naja philippinensis,2026-01-17,3
300806009.0,Naja philippinensis,2026-01-17,1
300807001.0,Naja philippinensis,2025-12-29,2
300807008.0,Naja philippinensis,2025-10-14,1
300809016.0,Naja philippinensis,2025-10-18,1
300810001.0,Naja philippinensis,2026-01-16,1
300810001.0,Naja philippinensis,2026-01-19,1
300812004.0,Naja philippinensis,2026-01-19,1
301401014.0,Naja philippinensis,2026-01-17,1
301407021.0,Naja philippinensis,2025-11-07,2
301408010.0,Naja philippinensis,2026-01-17,2
301412020.0,Naja philippinensis,2026-01-17,1
301413022.0,Ophiophagus hannah,2025-11-14,1
301414009.0,Naja philippinensis,2025-10-22,1
301415016.0,Naja philippinensis,2025-10-20,1
301418003.0,Ophiophagus hannah,2026-01-17,1
301419026.0,Naja philippinensis,2025-10-27,1
301419026.0,Naja philippinensis,2026-01-16,1
301419033.0,Naja philippinensis,2025-10-20,1
301420009.0,Naja philippinensis,2025-10-14,1
301420009.0,Naja philippinensis,2025-10-15,1
301420009.0,Naja philippinensis,2026-01-16,1
301420009.0,Ophiophagus hannah,2025-10-21,1
301420062.0,Naja philippinensis,2026-01-19,1
301421037.0,Naja philippinensis,2026-01-19,1
301423016.0,Naja philippinensis,2026-01-17,1
301423017.0,Naja philippinensis,2025-10-22,1
301423017.0,Naja philippinensis,2025-10-25,1
301423017.0,Naja philippinensis,2025-11-12,1
301423017.0,Naja philippinensis,2025-11-13,1
301423017.0,Naja philippinensis,2026-01-17,1
301424004.0,Naja philippinensis,2025-10-15,1
301424006.0,Naja philippinensis,2025-10-13,1
301424006.0,Naja philippinensis,2025-10-26,1
304901021.0,Naja philippinensis,2026-01-14,1
304902021.0,Naja philippinensis,2025-10-25,1
304903046.0,Naja philippinensis,2025-11-12,1
304903046.0,Naja philippinensis,2026-01-16,1
304903077.0,Naja philippinensis,2025-10-16,1
304903077.0,Naja philippinensis,2025-11-12,1
304903077.0,Naja philippinensis,2026-01-13,1
304903077.0,Naja philippinensis,2026-01-17,2
304905030.0,Naja philippinensis,2025-10-26,1
304905053.0,Naja philippinensis,2025-10-15,1
304906018.0,Naja philippinensis,2026-01-17,2
304907004.0,Naja philippinensis,2026-01-16,1
304908013.0,Naja philippinensis,2025-10-14,1
304909019.0,Naja philippinensis,2026-01-17,1
304909020.0,Naja philippinensis,2025-10-10,1
304909020.0,Naja philippinensis,2025-10-11,1
304909020.0,Naja philippinensis,2025-10-14,2
304909020.0,Naja philippinensis,2025-10-15,2
304909020.0,Naja philippinensis,2025-10-16,1
304909020.0,Naja philippinensis,2025-10-22,1
304909020.0,Naja philippinensis,2025-10-23,1
304909020.0,Naja philippinensis,2025-11-13,1
304909020.0,Naja philippinensis,2026-01-17,1
304910017.0,Naja philippinensis,2026-01-17,1
304911007.0,Naja philippinensis,2025-10-15,1
304911060.0,Naja philippinensis,2026-01-15,1
304913016.0,Naja philippinensis,2026-01-13,1
304913020.0,Naja philippinensis,2026-01-17,1
304914004.0,Naja philippinensis,2025-10-10,1
304916003.0,Naja philippinensis,2025-11-10,1
304916003.0,Naja philippinensis,2026-01-16,1
304916021.0,Naja philippinensis,2026-01-17,1
304917029.0,Naja philippinensis,2026-01-17,1
304919020.0,Naja philippinensis,2026-01-14,1
304919020.0,Naja philippinensis,2026-01-16,1
304919020.0,Naja philippinensis,2026-01-17,2
304919020.0,Ophiophagus hannah,2026-01-17,1
304920012.0,Naja philippinensis,2026-01-11,2
304926019.0,Naja philippinensis,2026-01-17,3
304926024.0,Naja philippinensis,2025-11-09,1
304926035.0,Naja philippinensis,2026-01-14,1
304926039.0,Naja philippinensis,2026-01-16,1
304926039.0,Naja philippinensis,2026-01-17,1
304932004.0,Naja philippinensis,2026-01-17,1
305403018.0,Naja philippinensis,2025-10-24,1
305404003.0,Naja philippinensis,2025-10-28,1
305405029.0,Naja philippinensis,2025-10-15,1
305405029.0,Naja philippinensis,2025-11-13,1
305405029.0,Naja philippinensis,2025-11-14,1
305406023.0,Naja philippinensis,2026-01-17,1
305407004.0,Naja philippinensis,2025-10-23,1
305407004.0,Ophiophagus hannah,2025-11-13,1
305408021.0,Naja philippinensis,2025-11-13,1
305409005.0,Naja philippinensis,2026-01-17,1
305413013.0,Naja philippinensis,2026-01-17,1
305413024.0,Naja philippinensis,2025-11-13,1
305415031.0,Naja philippinensis,2025-10-17,1
305415031.0,Naja philippinensis,2025-11-13,1
305416001.0,Naja philippinensis,2025-10-13,1
305416001.0,Naja philippinensis,2025-10-14,1
305416001.0,Naja philippinensis,2025-10-16,1
305416001.0,Naja philippinensis,2025-10-20,1
305416001.0,Naja philippinensis,2025-10-23,1
305416001.0,Naja philippinensis,2025-11-13,1
305416001.0,Naja philippinensis,2026-01-16,1
305416001.0,Naja philippinensis,2026-01-17,2
305416001.0,Ophiophagus hannah,2025-10-21,1
305416001.0,Ophiophagus hannah,2026-01-17,1
305416010.0,Naja philippinensis,2025-10-16,1
305416010.0,Naja philippinensis,2025-10-17,1
305416027.0,Naja philippinensis,2025-11-08,1
305416027.0,Naja philippinensis,2026-01-17,3
305419004.0,Naja philippinensis,2025-10-27,1
306901013.0,Naja philippinensis,2026-01-17,1
306902010.0,Naja philippinensis,2026-01-16,1
306902010.0,Ophiophagus hannah,2026-01-17,1
306904007.0,Naja philippinensis,2026-01-15,1
306904008.0,Naja philippinensis,2025-10-25,1
306904021.0,Naja philippinensis,2025-10-14,1
306904021.0,Ophiophagus hannah,2025-10-15,1
306905035.0,Naja philippinensis,2025-10-16,1
306905035.0,Naja philippinensis,2025-10-27,1
306905035.0,Naja philippinensis,2025-11-12,1
306905035.0,Naja philippinensis,2026-01-17,1
306906029.0,Naja philippinensis,2025-10-28,1
306906029.0,Naja philippinensis,2026-01-17,1
306907019.0,Naja philippinensis,2026-01-17,1
306909020.0,Naja philippinensis,2026-01-14,1
306910016.0,Naja philippinensis,2025-11-13,1
306910016.0,Naja philippinensis,2026-01-17,1
306911013.0,Naja philippinensis,2026-01-16,1
306915021.0,Naja philippinensis,2026-01-17,1
306916046.0,Naja philippinensis,2025-11-13,1
306916046.0,Naja philippinensis,2026-01-17,1
306918004.0,Naja philippinensis,2025-10-14,1
306918005.0,Naja philippinensis,2025-10-12,1
306918005.0,Naja philippinensis,2025-10-15,1
306918005.0,Naja philippinensis,2025-10-23,1
306918005.0,Naja philippinensis,2025-11-12,1
306918005.0,Naja philippinensis,2025-11-13,2
306918005.0,Naja philippinensis,2026-01-17,2
306918013.0,Naja philippinensis,2025-11-11,1
307101022.0,Naja philippinensis,2025-10-16,1
307101022.0,Naja philippinensis,2026-01-17,1
307101032.0,Naja philippinensis,2025-10-26,1
307101032.0,Naja philippinensis,2025-11-12,1
307101032.0,Naja philippinensis,2026-01-17,2
307101032.0,Naja philippinensis,2026-01-20,1
307103015.0,Naja philippinensis,2025-11-13,1
307104011.0,Naja philippinensis,2025-10-15,1
307105003.0,Naja philippinensis,2026-01-16,1
307106006.0,Naja samarensis,2025-10-24,1
307109014.0,Naja philippinensis,2026-01-16,1
307111017.0,Naja philippinensis,2026-01-17,1
307111019.0,Naja philippinensis,2025-11-12,1
307113024.0,Naja philippinensis,2026-01-12,1
307113024.0,Naja philippinensis,2026-01-17,1
307114004.0,Naja philippinensis,2026-01-17,1
307701009.0,Ophiophagus hannah,2026-01-17,1
307701010.0,Naja philippinensis,2025-10-17,1
307707006.0,Naja philippinensis,2025-10-21,1
307707025.0,Naja philippinensis,2026-01-20,1
307707031.0,Naja philippinensis,2025-11-13,1
307707038.0,Ophiophagus hannah,2009-06-09,1
330100003.0,Naja philippinensis,2025-11-08,1
330100021.0,Naja philippinensis,2026-01-17,1
331400006.0,Ophiophagus hannah,2025-11-08,1
401002015.0,Naja philippinensis,2026-01-17,1
401003009.0,Naja philippinensis,2025-10-23,1
401003037.0,Naja philippinensis,2025-10-12,1
401003037.0,Naja philippinensis,2025-10-22,1
401007006.0,Naja philippinensis,2026-01-17,1
401008027.0,Naja philippinensis,2026-01-17,1
401010017.0,Naja philippinensis,2025-10-20,1
401011017.0,Ophiophagus hannah,2025-10-16,1
401013003.0,Naja philippinensis,2025-10-12,1
401013003.0,Naja philippinensis,2025-10-15,2
401013003.0,Naja philippinensis,2025-10-17,1
401013019.0,Naja philippinensis,2025-10-16,1
401014038.0,Naja philippinensis,2025-11-13,1
401014042.0,Naja philippinensis,2025-10-17,1
401019007.0,Naja philippinensis,2026-01-17,1
401019022.0,Naja philippinensis,2026-01-17,1
401019042.0,Naja philippinensis,2026-01-17,1
401021032.0,Naja philippinensis,2025-11-08,1
401021033.0,Naja philippinensis,2025-11-13,1
401021033.0,Naja philippinensis,2025-11-14,1
401021033.0,Naja philippinensis,2026-01-17,1
401022022.0,Naja philippinensis,2025-10-20,1
401022022.0,Naja philippinensis,2025-10-26,1
401022022.0,Naja philippinensis,2025-11-07,1
401022022.0,Ophiophagus hannah,2026-01-17,1
401023029.0,Naja philippinensis,2025-11-13,1
401023034.0,Naja philippinensis,2025-10-16,1
401031043.0,Ophiophagus hannah,2026-01-17,1
401031049.0,Naja philippinensis,2025-10-27,1
401031049.0,Naja philippinensis,2026-01-16,1
401033008.0,Ophiophagus hannah,2018-12-24,2
401034008.0,Naja philippinensis,2025-10-26,1
402102016.0,Naja philippinensis,2025-11-10,1
402103004.0,Naja philippinensis,2026-01-16,1
402106008.0,Naja philippinensis,2025-10-15,1
402106008.0,Naja philippinensis,2025-10-25,1
402106008.0,Naja philippinensis,2026-01-17,1
402106056.0,Naja philippinensis,2026-01-16,1
402108004.0,Naja philippinensis,2025-10-22,1
402108004.0,Naja philippinensis,2025-11-13,2
402108004.0,Naja philippinensis,2026-01-17,1
402108004.0,Naja samarensis,2025-10-22,1
402108012.0,Naja philippinensis,2025-11-11,1
402108014.0,Naja philippinensis,2025-10-15,1
402108014.0,Naja philippinensis,2025-10-20,1
402108014.0,Naja philippinensis,2025-10-22,1
402108014.0,Naja philippinensis,2025-11-13,1
402108016.0,Naja philippinensis,2017-08-27,2
402108021.0,Naja philippinensis,2026-01-14,1
402108027.0,Naja philippinensis,2026-01-16,1
402108028.0,Naja philippinensis,2026-01-17,1
402109028.0,Naja philippinensis,2025-10-16,1
402109053.0,Naja philippinensis,2025-10-16,1
402109059.0,Naja samarensis,2025-10-13,1
402110023.0,Naja philippinensis,2026-01-17,1
402110023.0,Ophiophagus hannah,2025-11-09,1
402110034.0,Ophiophagus hannah,2025-10-16,1
402110034.0,Ophiophagus hannah,2025-10-17,1
402110034.0,Ophiophagus hannah,2026-01-15,1
402113008.0,Naja philippinensis,2025-11-13,1
402115023.0,Naja philippinensis,2026-01-11,1
402115023.0,Naja philippinensis,2026-01-17,1
402118020.0,Naja philippinensis,2023-06-30,2
402118032.0,Naja philippinensis,2025-10-14,1
402118032.0,Naja philippinensis,2025-10-25,1
402118040.0,Naja philippinensis,2025-10-16,1
402118040.0,Naja philippinensis,2025-10-19,1
402118040.0,Ophiophagus hannah,2026-01-14,1
402119008.0,Ophiophagus hannah,2026-01-17,1
402120002.0,Naja philippinensis,2025-10-13,1
402120006.0,Naja philippinensis,2025-10-15,1
402120016.0,Naja philippinensis,2026-01-17,1
402120024.0,Naja philippinensis,2025-11-11,1
402120027.0,Naja philippinensis,2026-01-17,3
402121001.0,Naja philippinensis,2026-01-17,1
402122011.0,Naja philippinensis,2026-01-17,1
403404006.0,Ophiophagus hannah,2025-10-15,1
403404014.0,Ophiophagus hannah,2025-10-21,1
403404015.0,Naja philippinensis,2026-01-13,1
403404015.0,Naja philippinensis,2026-01-17,1
403404017.0,Naja philippinensis,2025-11-09,1
403405026.0,Naja philippinensis,2025-10-16,1
403405026.0,Naja philippinensis,2025-11-13,1
403405026.0,Naja philippinensis,2026-01-17,1
403405052.0,Naja philippinensis,2026-01-15,1
403406003.0,Naja philippinensis,2025-10-16,2
403406003.0,Naja philippinensis,2025-10-17,1
403406003.0,Naja philippinensis,2025-10-18,1
403406003.0,Naja philippinensis,2026-01-13,1
403406003.0,Naja philippinensis,2026-01-17,1
403407015.0,Naja philippinensis,2025-10-13,1
403407015.0,Naja philippinensis,2025-10-15,1
403407015.0,Naja philippinensis,2026-01-15,1
403409003.0,Naja philippinensis,2025-10-13,1
403410018.0,Naja philippinensis,2026-01-17,1
403411014.0,Naja philippinensis,2026-01-17,1
403417034.0,Ophiophagus hannah,2026-01-17,1
403421002.0,Naja philippinensis,2025-10-15,1
403421004.0,Naja philippinensis,2025-10-15,1
403422004.0,Naja philippinensis,2025-10-12,1
403422004.0,Naja philippinensis,2026-01-17,1
403424007.0,Naja philippinensis,2025-10-22,1
403424007.0,Naja philippinensis,2026-01-16,1
403424008.0,Naja philippinensis,2026-01-17,1
403424031.0,Naja philippinensis,2025-10-14,1
403424031.0,Naja philippinensis,2025-10-16,1
403425011.0,Ophiophagus hannah,2025-10-13,1
403427020.0,Naja philippinensis,2025-10-20,1
403428012.0,Naja philippinensis,2025-10-27,1
403428020.0,Ophiophagus hannah,2025-10-14,1
403429013.0,Naja philippinensis,2026-01-17,1
403429022.0,Naja philippinensis,2025-10-15,1
403430010.0,Naja philippinensis,2025-10-20,1
403430010.0,Naja philippinensis,2026-01-15,1
405603005.0,Naja philippinensis,2026-01-17,1
405607015.0,Naja philippinensis,2026-01-17,1
405607015.0,Ophiophagus hannah,2026-01-17,1
405608001.0,Naja philippinensis,2026-01-17,1
405608019.0,Naja philippinensis,2025-10-10,1
405608019.0,Naja philippinensis,2026-01-17,1
405616009.0,Ophiophagus hannah,2026-01-17,1
405619041.0,Naja philippinensis,2025-10-16,1
405622008.0,Naja philippinensis,2026-01-17,1
405641014.0,Naja philippinensis,2025-10-18,1
405647032.0,Naja philippinensis,2025-10-17,1
405647032.0,Naja philippinensis,2025-10-19,1
405647032.0,Naja philippinensis,2026-01-17,1
405647057.0,Naja philippinensis,2026-01-14,1
405647057.0,Naja philippinensis,2026-01-17,1
405802008.0,Naja philippinensis,2025-10-15,1
405802009.0,Naja philippinensis,2025-10-28,1
405802009.0,Naja samarensis,2026-01-17,1
405803010.0,Naja philippinensis,2025-10-20,1
405804007.0,Naja philippinensis,2025-10-16,1
405804007.0,Naja philippinensis,2026-01-15,1
405804007.0,Naja philippinensis,2026-01-17,2
405804013.0,Ophiophagus hannah,2025-10-21,1
405804013.0,Ophiophagus hannah,2025-11-13,2
405804020.0,Naja philippinensis,2026-01-17,2
405804020.0,Ophiophagus hannah,2025-10-16,1
405804024.0,Naja philippinensis,2026-01-17,1
405804035.0,Naja philippinensis,2025-10-15,1
405805014.0,Naja philippinensis,2025-10-15,1
405806022.0,Naja philippinensis,2025-11-13,1
405807015.0,Naja philippinensis,2025-10-22,1
405807015.0,Naja philippinensis,2026-01-16,1
405808009.0,Naja philippinensis,2019-01-17,1
405809006.0,Naja philippinensis,2025-11-13,1
405809008.0,Naja philippinensis,2026-01-17,1
405810001.0,Naja philippinensis,2026-01-16,1
405811006.0,Ophiophagus hannah,2026-01-17,1
405811013.0,Ophiophagus hannah,2025-10-17,1
405812012.0,Naja philippinensis,2025-10-16,1
405812012.0,Naja philippinensis,2026-01-17,1
405813002.0,Naja philippinensis,2026-01-16,1
431200008.0,Naja philippinensis,2026-01-17,1
431200008.0,Naja philippinensis,2026-01-19,1
431200008.0,Ophiophagus hannah,2025-10-16,1
431200011.0,Naja philippinensis,2026-01-17,1
500502047.0,Naja philippinensis,2025-11-13,1
500502047.0,Naja philippinensis,2026-01-17,2
500503048.0,Naja philippinensis,2025-10-15,1
500506041.0,Naja philippinensis,2025-11-13,1
500506049.0,Naja philippinensis,2026-01-17,1
500507007.0,Naja philippinensis,2025-11-13,1
500507007.0,Naja philippinensis,2026-01-16,1
500508015.0,Naja philippinensis,2025-10-10,1
500508015.0,Naja philippinensis,2025-10-17,1
500508015.0,Naja philippinensis,2026-01-17,2
500508023.0,Naja philippinensis,2025-10-16,1
